state;state.name;age.name;Age;Total;Male;Female;NE
0;National;998;;31174;27771;3324;79
0;National;0;;46;28;18;
0;National;1;;102;58;44;
0;National;5;;68;40;28;
0;National;10;;229;144;85;
0;National;15;;2351;2035;316;
0;National;20;;4505;4028;477;
0;National;25;;4730;4297;431;2
0;National;30;;4419;4027;389;3
0;National;35;;3862;3485;374;3
0;National;40;;3213;2935;275;3
0;National;45;;2181;1952;228;1
0;National;50;;1460;1303;157;
0;National;55;;985;877;108;
0;National;60;;632;548;84;
0;National;65;;441;382;59;
0;National;70;;289;239;50;
0;National;75;;187;148;39;
0;National;80;;96;65;31;
0;National;85;;71;51;20;
0;National;999;;1307;1129;111;67
1;Aguascalientes;998;;83;75;8;
1;Aguascalientes;1;;3;2;1;
1;Aguascalientes;5;;1;;1;
1;Aguascalientes;15;;3;3;;
1;Aguascalientes;20;;15;13;2;
1;Aguascalientes;25;;15;14;1;
1;Aguascalientes;30;;16;15;1;
1;Aguascalientes;35;;5;5;;
1;Aguascalientes;40;;10;9;1;
1;Aguascalientes;45;;5;5;;
1;Aguascalientes;50;;2;2;;
1;Aguascalientes;55;;2;2;;
1;Aguascalientes;60;;3;3;;
1;Aguascalientes;70;;2;1;1;
1;Aguascalientes;999;;1;1;;
2;Baja California;998;;2143;1932;202;9
2;Baja California;0;;1;;1;
2;Baja California;1;;8;3;5;
2;Baja California;5;;5;2;3;
2;Baja California;10;;7;5;2;
2;Baja California;15;;100;82;18;
2;Baja California;20;;265;239;26;
2;Baja California;25;;322;291;31;
2;Baja California;30;;336;305;30;1
2;Baja California;35;;327;303;22;2
2;Baja California;40;;280;251;29;
2;Baja California;45;;192;183;9;
2;Baja California;50;;104;98;6;
2;Baja California;55;;56;48;8;
2;Baja California;60;;28;26;2;
2;Baja California;65;;17;15;2;
2;Baja California;70;;10;10;;
2;Baja California;75;;3;2;1;
2;Baja California;80;;3;2;1;
2;Baja California;999;;79;67;6;6
3;Baja California Sur;998;;740;662;77;1
3;Baja California Sur;1;;4;2;2;
3;Baja California Sur;5;;3;2;1;
3;Baja California Sur;10;;1;1;;
3;Baja California Sur;15;;45;37;8;
3;Baja California Sur;20;;115;103;12;
3;Baja California Sur;25;;110;99;11;
3;Baja California Sur;30;;115;108;7;
3;Baja California Sur;35;;104;90;14;
3;Baja California Sur;40;;71;66;5;
3;Baja California Sur;45;;49;45;4;
3;Baja California Sur;50;;31;28;3;
3;Baja California Sur;55;;18;18;;
3;Baja California Sur;60;;8;8;;
3;Baja California Sur;65;;6;6;;
3;Baja California Sur;70;;2;1;1;
3;Baja California Sur;999;;58;48;9;1
4;Campeche;998;;76;70;6;
4;Campeche;15;;2;2;;
4;Campeche;20;;4;4;;
4;Campeche;25;;7;7;;
4;Campeche;30;;12;11;1;
4;Campeche;35;;13;13;;
4;Campeche;40;;7;7;;
4;Campeche;45;;9;8;1;
4;Campeche;50;;9;8;1;
4;Campeche;55;;6;4;2;
4;Campeche;60;;5;4;1;
4;Campeche;999;;2;2;;
5;Coahuila;998;;272;231;41;
5;Coahuila;0;;1;;1;
5;Coahuila;1;;1;1;;
5;Coahuila;5;;1;;1;
5;Coahuila;10;;2;1;1;
5;Coahuila;15;;22;18;4;
5;Coahuila;20;;46;39;7;
5;Coahuila;25;;34;30;4;
5;Coahuila;30;;33;27;6;
