Sex,Edad,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Males,0,1183205 ,1196822,1201783,1206210,1214329,1217683,1212511,1205658,1196257,1184961,1177914,1172672,1168178,1164022,1162691,1157891,1149568,1146994,1145995,1147653,1147265,1146630,1145751,1144628,1143257,1141637,1146211,1138735,1130468,1121640,1112281
Males,1,1156333,1171608,1183192,1188813,1193813,1202319,1205769,1200696,1194050,1184083,1175668,1171454,1165859,1161808,1159275,1155459,1148866,1143624,1143001,1142966,1141373,1139536,1137461,1135146,1132589,1129791,1129349,1133877,1126473,1118296,1109562
Males,2,1136216,1148244,1164134,1175875,1181710,1186753,1194925,1198027,1192801,1184357,1178733,1174673,1169070,1163778,1160472,1156785,1152419,1147865,1144311,1144789,1144574,1144110,1143405,1142456,1141258,1139813,1127821,1127386,1131909,1124511,1116347
Males,3,1120768,1126077,1141956,1157796,1169502,1175189,1179795,1187490,1190301,1182937,1179107,1178140,1172381,1167030,1162273,1158000,1153958,1151380,1148377,1145632,1146180,1146482,1146541,1146354,1145917,1145230,1138238,1126260,1125832,1130351,1122956
Males,4,1109014,1110750,1119965,1135689,1151349,1162773,1167928,1171980,1179291,1179423,1177356,1178876,1175694,1170111,1165110,1159659,1155227,1152665,1151469,1149084,1149287,1149244,1148956,1148422,1147638,1146604,1143712,1136727,1124761,1124341,1128857
Males,5,1100313,1102731,1106101,1115202,1130803,1146251,1157235,1161965,1165741,1171473,1174877,1176149,1176480,1173452,1167985,1162651,1157342,1154051,1152687,1152096,1151181,1150019,1148614,1146965,1145069,1142926,1145039,1142146,1135167,1123214,1122804
Males,6,1093527,1094928,1098677,1101934,1110924,1126338,1141396,1151998,1156482,1159098,1167300,1173266,1173737,1174214,1170975,1165775,1161134,1156517,1154269,1153491,1151648,1149561,1147234,1144667,1141856,1138803,1141255,1143365,1140472,1133499,1121559
Males,7,1089446,1087321,1091272,1094900,1098048,1106841,1121896,1136598,1146954,1150505,1155109,1165391,1170774,1171371,1171373,1168865,1164757,1160447,1156742,1155092,1152277,1149222,1145932,1142407,1138644,1134645,1137026,1139475,1141581,1138687,1131721
Males,8,1088081,1083595,1084065,1087906,1091406,1094350,1102826,1117556,1132022,1141802,1146587,1152551,1162604,1168074,1168106,1168937,1167606,1163715,1160251,1157112,1153212,1149079,1144717,1140127,1135309,1130263,1132796,1135172,1137617,1139720,1136826
Males,9,1088447,1083737,1080702,1081072,1084789,1088107,1090772,1098969,1113493,1127975,1137811,1142805,1149134,1159237,1164082,1164938,1166945,1165792,1162756,1159822,1155151,1150253,1145131,1139787,1134223,1128438,1128370,1130902,1133274,1135715,1137815
Males,10,1089182,1085594,1080964,1077856,1078137,1081702,1084779,1087226,1095244,1110396,1123766,1132650,1138653,1145010,1154477,1160078,1162092,1164340,1164094,1161614,1156589,1151339,1145869,1140180,1134273,1128150,1126502,1126437,1128967,1131335,1133772
Males,11,1088690,1087646,1082609,1077914,1074737,1074878,1078229,1081088,1083354,1092419,1105700,1117367,1127722,1133734,1139461,1149601,1156349,1158766,1162047,1162420,1157216,1151788,1146142,1140278,1134198,1127904,1126107,1124462,1124399,1126927,1129290
Males,12,1085854,1087849,1084218,1079114,1074313,1070972,1070870,1073979,1076637,1080183,1086893,1098057,1111498,1121877,1127203,1133576,1144901,1152231,1155875,1159859,1155098,1150108,1144898,1139466,1133813,1127942,1125612,1123825,1122184,1122123,1124650
Males,13,1080264,1084085,1083510,1079781,1074513,1069467,1065824,1065396,1068216,1072113,1073309,1077997,1091016,1104457,1113978,1120077,1127873,1139889,1148631,1153123,1149346,1145336,1141096,1136629,1131933,1127010,1125224,1122925,1121144,1119507,1119449
Males,14,1071822,1076772,1078382,1077631,1073658,1068037,1062553,1058464,1057626,1061279,1063393,1063199,1069502,1082532,1094963,1105349,1113121,1121742,1135448,1145167,1142224,1139044,1135632,1131987,1128108,1123997,1123732,1122004,1119710,1117935,1116304
Males,15,1059950,1067212,1069450,1070795,1069666,1065219,1059022,1052932,1048279,1047730,1050429,1052077,1053147,1059441,1071428,1084589,1096694,1105631,1116293,1131122,1129820,1128276,1126496,1124476,1122217,1119717,1120102,1119916,1118190,1115902,1114135
Males,16,1043900,1054745,1058256,1060163,1061027,1059277,1054064,1047105,1040329,1035426,1034760,1037899,1040441,1041511,1046868,1059217,1073910,1087712,1099079,1110636,1111841,1112808,1113540,1114033,1114284,1114291,1115237,1115716,1115527,1113803,1111523
Males,17,1023638,1037546,1044294,1047400,1048718,1048826,1046193,1040066,1032264,1024798,1020478,1021036,1024791,1027331,1027602,1032878,1046492,1063481,1080128,1092312,1095290,1098039,1100562,1102854,1104911,1106729,1109294,1110340,1110815,1110626,1108904
Males,18,999531,1015674,1025699,1031972,1034414,1034857,1033921,1030240,1023163,1014227,1008039,1005708,1006625,1010381,1012172,1012097,1018554,1034913,1055116,1072602,1077301,1081788,1086063,1090120,1093956,1097564,1101332,1104006,1105041,1105512,1105321
Males,19,971906,990123,1002515,1011999,1017520,1018984,1018254,1016143,1011379,1002663,995856,992533,990228,991169,994062,995567,996873,1006264,1026111,1047445,1054376,1061124,1067688,1074063,1080241,1086217,1091875,1095757,1098413,1099437,1099903
Males,20,941405,961107,975895,987693,996356,1000803,1001006,998988,995695,988827,983013,979884,976266,973992,973894,976795,980018,984261,997330,1018530,1027934,1037202,1046331,1055314,1064143,1072811,1080322,1086101,1089955,1092592,1093604
Males,21,908869,929354,946128,960291,971216,978756,981858,980688,977437,971705,968328,966827,963145,959577,956110,956288,961231,967317,975345,989968,1001531,1013011,1024405,1035705,1046902,1057989,1066742,1074392,1080132,1083957,1086575
Males,22,874912,896103,913944,930062,943333,953078,959222,960909,958477,952499,950804,952305,949984,946363,941597,938487,940792,948604,958543,968200,980608,992962,1005258,1017488,1029643,1041715,1051902,1060802,1068403,1074103,1077900
Males,23,840349,862112,880858,898031,913271,925404,933758,938493,938948,933866,931904,935030,935742,933513,928832,924220,923062,928408,940103,951657,963824,975936,987991,999980,1011895,1023727,1035805,1046097,1054941,1062496,1068157
Males,24,806180,827915,847683,865801,882155,896332,907152,914188,917785,916111,914262,916305,919064,919892,916832,911972,908955,911033,920280,933570,945450,957275,969041,980742,992369,1003914,1018159,1030278,1040508,1049299,1056809
Males,25,773113,794344,814584,833799,851190,866592,879583,889197,895207,897323,897856,898957,901190,904086,904241,900815,897322,897602,903479,914355,925957,937506,948996,960422,971773,983044,998709,1012962,1025011,1035182,1043923
Males,26,741558,761970,782196,801949,820530,837089,851403,863312,872025,877167,880543,883009,884788,887180,889450,889307,887224,886868,890745,898310,909140,919902,930594,941208,951737,962173,978240,993913,1008093,1020077,1030193
Males,27,711820,730987,750937,770715,789936,807790,823379,836713,847831,856167,861794,866326,869823,871758,873506,875695,876985,877757,880741,886337,895948,905469,914897,924224,933444,942549,957756,973836,989436,1003548,1015472
Males,28,684136,701895,721025,740570,759896,778497,795479,810207,822845,833958,842193,848326,854160,857845,859112,860954,864626,868465,872339,877042,885261,893366,901353,909216,916949,924545,938461,953689,969702,985233,999282
Males,29,658450,675112,692956,711723,730875,749683,767513,783735,797864,810825,821325,829482,837133,843121,846263,847574,850722,856833,863512,869027,875820,882477,888996,895370,901594,907663,920742,934687,949855,965805,981272
Males,30,634241,650336,666879,684419,702846,721529,739642,756776,772466,786972,799251,809584,819209,827008,832646,835600,837914,843474,852242,860446,866202,871808,877265,882566,887707,892682,904110,917223,931116,946228,962117
Males,31,610947,627113,642647,658907,676153,694147,712177,729667,746311,762268,776303,788579,800177,809959,817529,822801,826513,831201,839227,849428,854624,859668,864557,869288,873855,878253,889334,900797,913864,927707,942764
Males,32,588215,604960,620062,635358,651356,668229,685639,703101,720160,737152,752512,766366,779906,791647,801275,808446,814336,820292,827262,836636,841867,846949,851880,856656,861272,865723,875075,886189,897612,910635,924429
Males,33,565700,583091,598453,613335,628408,644073,660433,677336,694403,711886,728158,743175,758297,771977,783540,792871,800702,808601,816640,824911,830526,835999,841330,846513,851543,856415,862699,872095,883172,894555,907536
Males,34,543231,561047,576985,592163,606843,621621,636818,652702,669256,686759,703488,719366,735602,750858,764267,775760,785876,795438,805231,814503,820438,826239,831905,837429,842807,848034,853507,859845,869212,880255,891600
Males,35,520894,538808,555316,571080,586079,600485,614837,629624,645169,662185,678884,695128,712192,728550,743473,756975,769358,780959,792244,803182,809757,816210,822540,828741,834808,840735,845180,850705,857023,866361,877369
